Level	Code	Name	Type	Notes	Folder	f_ColorBack	f_ColorCom	f_LastFin	Start	Fin	AsapStart	AsapFin	FactStart	FactFin	DurPlan	DurPlanD	VolPlan	VolFact	Unit	CostPlan
	spammr01	Технические требования	SM			16777215	255	16.01.2007  16:00	11.01.2007  08:00	18.01.2007  16:00	17.01.2007  08:00	18.01.2007  16:00	11.01.2007  08:00		16	2	33.3333333333333	66.6666666666667		906.333333333333
A	77	IT Аналитик	SM_IT			14745599	12500735	16.01.2007  16:00	11.01.2007  08:00	18.01.2007  16:00	17.01.2007  08:00	18.01.2007  16:00	11.01.2007  08:00		16	2	33.3333333333333	66.6666666666667		804.666666666667
	spammr02	Анализ рынка ПО	VL			16777215	33023		19.01.2007  08:00	22.01.2007  16:00	19.01.2007  08:00	22.01.2007  16:00			16	2	100			1175
A	77	IT Аналитик	VL_IT			14745599	12500735		19.01.2007  08:00	22.01.2007  16:00	19.01.2007  08:00	22.01.2007  16:00			16	2	100			938
	spammr03	Бизнес аналитик	SS			16777215	255		25.01.2007  16:00	25.01.2007  16:00	25.01.2007  16:00	25.01.2007  16:00					100			205
2	Яблоко	Анализ и выбор	A&C			13434828	53760		02.02.2007  08:00	22.02.2007  08:19	02.02.2007  08:00	22.02.2007  08:19			112	14				14717.76
	spsc01	Управление 1	MN			16777215	65535		22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19					100			2429.76
A	me	Менеджер проекта	MN_PM			14745599	16711680		22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19					100			1999.12
3	spscsa	Анализ предложений				16769505	33023		02.02.2007  08:00	12.02.2007  16:00	02.02.2007  08:00	12.02.2007  16:00			56	7				4265
	spscsa01	Анализ спецификаций				16777215	255		02.02.2007  08:00	02.02.2007  08:00	02.02.2007  08:00	02.02.2007  08:00					5			17
	spscsa02	Рассылка RFP	SA			16777215	9240460		02.02.2007  08:00	05.02.2007  10:00	02.02.2007  08:00	05.02.2007  10:00			10	1.25	5			504
A	bi	Бизнес аналитик	SA_BA			14745599	16711680		02.02.2007  08:00	05.02.2007  10:00	02.02.2007  08:00	05.02.2007  10:00			10	1.25	5			
	spscsa05	Получение предложений	SC			16777215	9240460		05.02.2007  10:00	05.02.2007  12:30	05.02.2007  10:00	05.02.2007  12:30			2.5	0.3125	5			166
A	bi	Бизнес аналитик	SC_BA			14745599	16711680		05.02.2007  10:00	05.02.2007  12:30	05.02.2007  10:00	05.02.2007  12:30			2.5	0.3125	5			142
	spscsa03	Список поставщиков	DA			16777215	255		02.02.2007  08:00	08.02.2007  16:00	02.02.2007  08:00	08.02.2007  16:00			40	5	5			1944
A	77	IT Аналитик	DA_IT			14745599	12500735		02.02.2007  08:00	08.02.2007  16:00	02.02.2007  08:00	08.02.2007  16:00			40	5	5			1852
	spscsa04	Анализ условий поставки (время, стоимость)	SL			16777215	255		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16	2	3			1634
A	77	IT Аналитик	SL_IT			14745599	12500735		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16	2	3			744
A	bi	Бизнес аналитик	SL_BA			14745599	12500735		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16	2	3			840
3	spscic	Проверка информации				16769505	16711680		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24	3				1907
	spscic01	Создание короткого списка	CR			16777215	255		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24	3	3			1313
A	bi	Бизнес аналитик	CR_BA			14745599	12500735		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24	3	3			1256
	spscic02	Анализ демо версий	CS			16777215	9240460		13.02.2007  08:00	14.02.2007  12:00	13.02.2007  08:00	14.02.2007  12:00			12	1.5	3			594
A	77	IT Аналитик	CS_IT			14745599	16711680		13.02.2007  08:00	14.02.2007  12:00	13.02.2007  08:00	14.02.2007  12:00			12	1.5	3			560
3	spscnc	Переговоры и выбор				16769505	16711680		16.02.2007  08:00	22.02.2007  08:19	16.02.2007  08:00	22.02.2007  08:19			32	4				6116
	spscnc01	Проверка поддержки	DM			16777215	255		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8	1	2			1346
A	me	Менеджер проекта	DM_PM			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8	1	2			518
A	77	IT Аналитик	DM_IT			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8	1	2			374
A	bi	Бизнес аналитик	DM_BA			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8	1	2			422
	spscnc02	Управление 2	NG			16777215	255		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8	1	2			1337
A	me	Менеджер проекта	NG_PM			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8	1	2			518
A	77	IT Аналитик	NG_IT			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8	1	2			374
A	bi	Бизнес аналитик	NG_BA			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8	1	2			422
	spscnc03	Переговоры	CH			16777215	255		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16	2	100			3433
A	me	Менеджер проекта	CH_PM			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16	2	100			1226
A	77	IT Аналитик	CH_IT			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16	2	100			938
A	bi	Бизнес аналитик	CH_BA			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16	2	100			1034
