StructCode	Code	Name	Level	BSC	Type	Notes	Folder	ShortName	Start	Fin	DurPlan	DurPlanD	NumDays	CostPlan	Reserv	ReservD	ReservFinH	ReservFinD	Calen	Person	Prior	WorkLoadPlan	AsapStart	AsapFin	AlapStart	AlapFin	FactStart	FactFin	DurFact	DurFactD	NumDaysFact	DurSum	DurSumD	NumDaysSum	CostFact	CostTotal	WorkLoadFact	WorkLoadSum	VolPlan	VolFact	VolSum	TargetStart	TargetFin	rReserv	rReservFin	rCostPlan	rCostDiff	ProbTerm	ContFin	CostContr	CostProb	CalcDif	NPV	NPV_Plan	ObjCode	SaveCode	ACWP	BCWP	BCWS	CV	CV%	SV	SV%	CPI	CPI%	SPI	SPI%	f_PF	f_BAC	f_EAC	f_VAC	f_VAC%	f_TCPI	f_PSc	f_PSp	SumVol	ResCentQuan	ResCentHour	EarlyStart	EarlyFin	f_NotedStart	f_NotedFin	f_UniId	f_RowColor	f_FontColor	Color
2	8	Бизнес аналитик	2	9					09.01.2007  12:00	15.02.2007  16:00	76.5	9.5625	10	8994					1			140.5	23.01.2007  08:00	15.02.2007  16:00	23.01.2007  08:00	15.02.2007  16:00	09.01.2007  12:00		24	3	4	100.5	12.5625	14.000002077519	177411	186405	2016	2156.5														Нет	-186405	-8994																						Нет					Нет	Нет	164			
2	9	Анализ	3	9.1					09.01.2007  12:00	25.01.2007  16:00	24	3	3	5360					1			72	23.01.2007  08:00	25.01.2007  16:00	23.01.2007  08:00	26.01.2007  08:00	09.01.2007  12:00		24	3	4	48	6	7.00000103875948	177411	182771	2016	2088														Нет	-182771	-5360																						Нет					Нет	Нет	165			
2	10	Выбор	3	9.2					02.02.2007  08:00	15.02.2007  16:00	52.5	6.5625	7	3634					1			68.5	02.02.2007  08:00	15.02.2007  16:00	02.02.2007  08:00	15.02.2007  16:00						52.5	6.5625	7		3634		68.5														Нет	-3634	-3634																						Нет					Нет	Нет	166			
2	1	IT Аналитик	2	8					09.01.2007  08:00	16.02.2007  16:00	92	11.5	12	5965.33333333333					1			108	17.01.2007  08:00	16.02.2007  16:00	17.01.2007  08:00	16.02.2007  16:00	09.01.2007  08:00		48	6	6	140	17.5	18.0000041531962	3700	9665.33333333333	48	156														Нет	-9665.33333333333	-5965.33333333333																						Нет					Нет	Нет	167			
2	2	Анализ	3	8.1					09.01.2007  08:00	22.01.2007  16:00	32	4	4	2081.33333333333					1			32	17.01.2007  08:00	22.01.2007  16:00	17.01.2007  08:00	22.01.2007  16:00	09.01.2007  08:00		48	6	6	80	10	10.0000020765981	3700	5781.33333333333	48	80														Нет	-5781.33333333333	-2081.33333333333																						Нет					Нет	Нет	168			
2	3	Выбор	3	8.2					02.02.2007  08:00	16.02.2007  16:00	60	7.5	8	3884					1			76	02.02.2007  08:00	16.02.2007  16:00	02.02.2007  08:00	16.02.2007  16:00						60	7.5	8		3884		76														Нет	-3884	-3884																						Нет					Нет	Нет	169			
2	##ComparedOnly##	Только в сравниваемом	2	12																																																Нет																								Нет					Нет	Нет	196			
2	##Absent##	Отсутствуют при сравнении	2	11																																																Нет																								Нет					Нет	Нет	201			
2	##Absent_Activities##	Отсутствуют при сравнении	2	10																																																Нет																								Нет					Нет	Нет	207			
2	12	Фаза12	4	9.2.7																																																Нет																								Нет					Нет	Нет	268			
2	13	Фаза13	4	9.2.6																																																Нет																								Нет					Нет	Нет	269			
2	##Unscheduled##	Внеплановые работы	2	6																																																Нет																								Нет					Нет	Нет	425			
3	sp	Приобретение программы	1	0					17.01.2007  08:00	05.02.2007  13:12	80	10	11		96.32	12.04	99.12	12.39					17.01.2007  08:00	05.02.2007  13:12	02.02.2007  08:19	22.02.2007  08:19						80	10	11																		Нет																								Нет					Нет	Нет	217			
3	01		2	6																																																Нет																								Нет					Нет	Нет	218			
3	0	 	3	6.1																																																Нет																								Нет					Нет	Нет	219			
3	e	e	2	7																																																Нет																								Нет					Нет	Нет	220			
3	ea	e a	3	7.1																																																Нет																								Нет					Нет	Нет	221			
3	eb	e b	3	7.2																																																Нет																								Нет					Нет	Нет	222			
3	##Unscheduled##	Внеплановые работы	2	5																																																Нет																								Нет					Нет	Нет	424			
