Code	ObjCode	Value	Total	Fact	Risk	Contr	Prob	ObjType	OperCode	ResCode	AssIndex	PredCode	SuccCode	Start	Fin
NewWBS	spscnc01	sp_spsc_spscnc_spscnc01	sp_spsc_spscnc_spscnc01					O							
B	spscnc01	No	No					O							
A	spscnc01	g	g					O							
H	spscnc01	1	1					O							
L	spscnc01	281474959933695	281474959933695					O							
O	spscnc01	13.02.2007  08:00	13.02.2007  08:00					O							
1	spscnc02	5	5					O							
2	spscnc02	6	6					O							
002	spscnc02	Переговоры	Переговоры					O							
PF	spscnc02	8.33333333333333	8.33333333333333					O							
NewWBS	spscnc02	sp_spsc_spscnc_spscnc02	sp_spsc_spscnc_spscnc02					O							
B	spscnc02	No	No					O							
A	spscnc02	g	g					O							
H	spscnc02	1	1					O							
L	spscnc02	281474959933695	281474959933695					O							
O	spscnc02	14.02.2007  08:19	14.02.2007  08:19					O							
1	spscnc03	6	6					O							
2	spscnc03	6	6					O							
002	spscnc03	Выбор ПО	Выбор ПО					O							
PF	spscnc03	8.33333333333333	8.33333333333333					O							
NewWBS	spscnc03	sp_spsc_spscnc_spscnc03	sp_spsc_spscnc_spscnc03					O							
B	spscnc03	No	No					O							
A	spscnc03	g	g					O							
H	spscnc03	1	1					O							
L	spscnc03	281474959933695	281474959933695					O							
O	spscnc03	15.02.2007  08:19	15.02.2007  08:19					O							
1	spscsa01	3	3					O							
2	spscsa01	3	3					O							
002	spscsa01	Получение предложений	Получение предложений					O							
PF	spscsa01	22.7272727272727	22.7272727272727					O							
NewWBS	spscsa01	sp_spsc_spscsa_spscsa01	sp_spsc_spscsa_spscsa01					O							
B	spscsa01	No	No					O							
C	spscsa01	13000	13000					O							
A	spscsa01	e	e					O							
H	spscsa01	1	1					O							
L	spscsa01	281474959933695	281474959933695					O							
O	spscsa01	30.01.2007  08:00	30.01.2007  08:00					O							
1	spamrd03	2	2					O							
2	spamrd03	3	3					O							
002	spamrd03	Разработка критериев отбора	Разработка критериев отбора					O							
PF	spamrd03	25	25					O							
B	spamrd03	Yes	Yes					O							
A	spamrd03	b	b					O							
H	spamrd03	1	1					O							
J	spamrd03	sds	sds					O							
L	spamrd03	281474959933695	281474959933695					O							
O	spamrd03	16.01.2007  08:00	16.01.2007  08:00					O							
1	spscsa05	3	3					O							
2	spscsa05	4	4					O							
002	spscsa05	Анализ условий поставки (время, стоимость)	Анализ условий поставки (время, стоимость)					O							
PF	spscsa05	31.8181818181818	31.8181818181818					O							
NewWBS	spscsa05	sp_spsc_spscsa_spscsa05	sp_spsc_spscsa_spscsa05					O							
B	spscsa05	No	No					O							
A	spscsa05	e	e					O							
H	spscsa05	1	1					O							
L	spscsa05	281474959933695	281474959933695					O							
O	spscsa05	31.01.2007  10:00	31.01.2007  10:00					O							
1	spsc01	3	3					O							
2	spsc01	6	6					O							
002	spsc01	Управление 2	Управление 2					O							
PF	spsc01	9.75609756097561	9.75609756097561					O							
NewWBS	spsc01	sp_spsc_spsc01	sp_spsc_spsc01					O							
E	spsc01	0.2	0.2					O							
B	spsc01	No	No					O							
A	spsc01	d	d					O							
H	spsc01	1	1					O							
J	spsc01	sssss	sssss					O							
L	spsc01	281474959933695	281474959933695					O							
O	spsc01	30.01.2007  08:00	30.01.2007  08:00					O							
002	hasdjhsjd111111111111111kjhckjsck1111111	Операция4	Операция4					O							
A	hasdjhsjd111111111111111kjhckjsck1111111	a	a					O							
H	hasdjhsjd111111111111111kjhckjsck1111111	1	1					O							
L	hasdjhsjd111111111111111kjhckjsck1111111	281474959933695	281474959933695					O							
O	hasdjhsjd111111111111111kjhckjsck1111111	09.01.2007  08:00	09.01.2007  08:00					O							
002	sds	Операция5	Операция5					O							
A	sds	a	a					O							
G	sds	mailto:a.a@b.ru	mailto:a.a@b.ru					O							
J	sds	a	a					O							
L	sds	281474959933695	281474959933695					O							
O	sds	09.01.2007  08:13	09.01.2007  08:13					O							
A	03	a	a					O							
H	03	1	1					O							
L	03	281474959933695	281474959933695					O							
H	4	1	1					O							
O	4	17.01.2007  08:00	17.01.2007  08:00					O							
H	5	1	1					O							
O	5	17.01.2007  08:00	17.01.2007  08:00					O							
H	6	1	1					O							
O	6	17.01.2007  08:00	17.01.2007  08:00					O							
L		281474959933695	281474959933695					A	spamrd01	77					
L		281474959933695	281474959933695					A	spamrd02	bi					
L		281474959933695	281474959933695					A	spammr01	77					
L		281474959933695	281474959933695					A	spammr02	77					
L		281474959933695	281474959933695					A	spscsa03	77					
L		281474959933695	281474959933695					A	spscic01	bi					
L		281474959933695	281474959933695					A	spscic02	77					
L		281474959933695	281474959933695					A	spscsa05	bi					
L		281474959933695	281474959933695					A	spsc01	me					
L		281474959933695	281474959933695					A	spamrd03	bi					
L		281474959933695	281474959933695					A	spamrd03	77					
L		281474959933695	281474959933695					A	spamrd03	me					
L		281474959933695	281474959933695					A	spscnc01	bi					
L		281474959933695	281474959933695					A	spscnc01	77					
L		281474959933695	281474959933695					A	spscnc01	me					
L		281474959933695	281474959933695					A	spscnc02	bi					
L		281474959933695	281474959933695					A	spscnc02	77					
L		281474959933695	281474959933695					A	spscnc02	me					
L		281474959933695	281474959933695					A	spscnc03	bi					
L		281474959933695	281474959933695					A	spscnc03	77					
L		281474959933695	281474959933695					A	spscnc03	me					
L		281474959933695	281474959933695					A	spscsa02	77					
002		Бизнес аналитик	Бизнес аналитик					A	spamrd04	bi					
L		281474959933695	281474959933695					A	spamrd04	bi					
002		Бизнес аналитик	Бизнес аналитик					A	spamrd04	77					
L		281474959933695	281474959933695					A	spamrd04	77					
002		IT Аналитик	IT Аналитик					A	spamrd04	me					
L		281474959933695	281474959933695					A	spamrd04	me					
L		281474959933695	281474959933695					A	spscsa04	bi					
L		281474959933695	281474959933695					A	spscsa04	77					
K		33.3333333333333						F	spammr01					11.01.2007  08:00	16.01.2007  16:00
K		50						F	spamrd03					16.01.2007  08:00	16.01.2007  16:00
K		97.6						F	sds					09.01.2007  08:13	16.01.2007  16:00
L	1	281474959933695	281474959933695					AT	spamrd01	1					
M	1	1	1					AT	spamrd01	1					
L	1	281474959933695	281474959933695					AT	spamrd02	1					
L	1	281474959933695	281474959933695					AT	spammr01	1					
L	1	281474959933695	281474959933695					AT	spammr02	1					
L	1	281474959933695	281474959933695					AT	spamrd04	1					
L	1	281474959933695	281474959933695					AT	spscsa02	1					
L	1	281474959933695	281474959933695					AT	spscsa03	1					
L	1	281474959933695	281474959933695					AT	spscsa04	1					
L	1	281474959933695	281474959933695					AT	spscic01	1					
L	1	281474959933695	281474959933695					AT	spscic02	1					
L	1	281474959933695	281474959933695					AT	spscnc01	1					
L	1	281474959933695	281474959933695					AT	spscnc02	1					
L	1	281474959933695	281474959933695					AT	spscnc03	1					
L	1	281474959933695	281474959933695					AT	spamrd03	1					
L	1	281474959933695	281474959933695					AT	spscsa05	1					
L	1	281474959933695	281474959933695					AT	spsc01	1					
L	1	281474959933695	281474959933695					AP	spscsa02	1					
