Level	Code	Name	Type	Notes	Folder	f_ColorBack	f_ColorCom	f_LastFin	Start	Fin	AsapStart	AsapFin	FactStart	FactFin	DurPlan	DurPlanD	VolPlan	VolFact	Unit	CostPlan
	bi	Бизнес аналитик	SEL_BA			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50.0		518.0
	2	Команда 2	SEL			15263999	15263999		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8.0	1.0	50.0			
	77	IT Аналитик	SEL_IT			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8.0	1.0	50.0			
	bi	Бизнес аналитик	SEL_BA			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8.0	1.0	50.0			
	me	Менеджер проекта	SEL_PM			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8.0	1.0	50.0			
	A	Ресурс A	SEL			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8.0	1.0	50.0			
	spamrd04	Разработка критериев отбора	RFP			16777215	255		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16.0	2.0	100.0			3 434.0
	1	Команда 1	RFP			15263999	15263999		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16.0	2.0	100.0			3 198.0
	me	Менеджер проекта	RFP_PM			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16.0	2.0	100.0			1 226.0
	77	IT Аналитик	RFP_IT			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16.0	2.0	100.0			938.0
	bi	Бизнес аналитик	RFP_BA			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16.0	2.0	100.0			1 034.0
3	spammr	Исследование рынка				16769505	16711680	16.01.2007  16:00	11.01.2007  08:00	25.01.2007  16:00	17.01.2007  08:00	25.01.2007  16:00	11.01.2007  08:00		32.0	4.0				2 286.3
	spammr01	Технические требования	SM			16777215	255	16.01.2007  16:00	11.01.2007  08:00	18.01.2007  16:00	17.01.2007  08:00	18.01.2007  16:00	11.01.2007  08:00		16.0	2.0	33.3	66.7		906.3
	1	Команда 1	SM			15263999	15263999		17.01.2007  08:00	18.01.2007  16:00	17.01.2007  08:00	18.01.2007  16:00			16.0	2.0	33.3			804.7
	77	IT Аналитик	SM_IT			14745599	12500735	16.01.2007  16:00	11.01.2007  08:00	18.01.2007  16:00	17.01.2007  08:00	18.01.2007  16:00	11.01.2007  08:00		16.0	2.0	33.3	66.7		804.7
	spammr02	Анализ рынка ПО	VL			16777215	33023		19.01.2007  08:00	22.01.2007  16:00	19.01.2007  08:00	22.01.2007  16:00			16.0	2.0	100.0			1 175.0
	1	Команда 1	VL			15263999	15263999		19.01.2007  08:00	22.01.2007  16:00	19.01.2007  08:00	22.01.2007  16:00			16.0	2.0	100.0			938.0
	77	IT Аналитик	VL_IT			14745599	12500735		19.01.2007  08:00	22.01.2007  16:00	19.01.2007  08:00	22.01.2007  16:00			16.0	2.0	100.0			938.0
	spammr03	Бизнес аналитик	SS			16777215	255		25.01.2007  16:00	25.01.2007  16:00	25.01.2007  16:00	25.01.2007  16:00					100.0			205.0
2	Яблоко	Анализ и выбор	A&C			13434828	53760		02.02.2007  08:00	22.02.2007  08:19	02.02.2007  08:00	22.02.2007  08:19			112.0	14.0				14 717.8
	spsc01	Управление 1	MN			16777215	65535		22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19					100.0			2 429.8
	1	Команда 1	MN			15263999	15263999		22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19					100.0			1 999.1
	me	Менеджер проекта	MN_PM			14745599	16711680		22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19	22.02.2007  08:19					100.0			1 999.1
3	spscsa	Анализ предложений				16769505	33023		02.02.2007  08:00	12.02.2007  16:00	02.02.2007  08:00	12.02.2007  16:00			56.0	7.0				4 265.0
	spscsa01	Анализ спецификаций				16777215	255		02.02.2007  08:00	02.02.2007  08:00	02.02.2007  08:00	02.02.2007  08:00					5.0			17.0
	spscsa02	Рассылка RFP	SA			16777215	9240460		02.02.2007  08:00	05.02.2007  10:00	02.02.2007  08:00	05.02.2007  10:00			10.0	1.2	5.0			504.0
	1	Команда 1	SA			15263999	15263999		02.02.2007  08:00	05.02.2007  10:00	02.02.2007  08:00	05.02.2007  10:00			10.0	1.2	5.0			472.0
	bi	Бизнес аналитик	SA_BA			14745599	16711680		02.02.2007  08:00	05.02.2007  10:00	02.02.2007  08:00	05.02.2007  10:00			10.0	1.2	5.0			
	spscsa05	Получение предложений	SC			16777215	9240460		05.02.2007  10:00	05.02.2007  12:30	05.02.2007  10:00	05.02.2007  12:30			2.5	0.3	5.0			166.0
	1	Команда 1	SC			15263999	15263999		05.02.2007  10:00	05.02.2007  12:30	05.02.2007  10:00	05.02.2007  12:30			2.5	0.3	5.0			142.0
	bi	Бизнес аналитик	SC_BA			14745599	16711680		05.02.2007  10:00	05.02.2007  12:30	05.02.2007  10:00	05.02.2007  12:30			2.5	0.3	5.0			142.0
	spscsa03	Список поставщиков	DA			16777215	255		02.02.2007  08:00	08.02.2007  16:00	02.02.2007  08:00	08.02.2007  16:00			40.0	5.0	5.0			1 944.0
	1	Команда 1	DA			15263999	15263999		02.02.2007  08:00	08.02.2007  16:00	02.02.2007  08:00	08.02.2007  16:00			40.0	5.0	5.0			1 852.0
	77	IT Аналитик	DA_IT			14745599	12500735		02.02.2007  08:00	08.02.2007  16:00	02.02.2007  08:00	08.02.2007  16:00			40.0	5.0	5.0			1 852.0
	spscsa04	Анализ условий поставки (время, стоимость)	SL			16777215	255		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16.0	2.0	3.0			1 634.0
	1	Команда 1	SL			15263999	15263999		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16.0	2.0	3.0			1 584.0
	77	IT Аналитик	SL_IT			14745599	12500735		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16.0	2.0	3.0			744.0
	bi	Бизнес аналитик	SL_BA			14745599	12500735		09.02.2007  08:00	12.02.2007  16:00	09.02.2007  08:00	12.02.2007  16:00			16.0	2.0	3.0			840.0
3	spscic	Проверка информации				16769505	16711680		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24.0	3.0				1 907.0
	spscic01	Создание короткого списка	CR			16777215	255		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24.0	3.0	3.0			1 313.0
	1	Команда 1	CR			15263999	15263999		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24.0	3.0	3.0			1 256.0
	bi	Бизнес аналитик	CR_BA			14745599	12500735		13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00			24.0	3.0	3.0			1 256.0
	spscic02	Анализ демо версий	CS			16777215	9240460		13.02.2007  08:00	14.02.2007  12:00	13.02.2007  08:00	14.02.2007  12:00			12.0	1.5	3.0			594.0
	1	Команда 1	CS			15263999	15263999		13.02.2007  08:00	14.02.2007  12:00	13.02.2007  08:00	14.02.2007  12:00			12.0	1.5	3.0			560.0
	77	IT Аналитик	CS_IT			14745599	16711680		13.02.2007  08:00	14.02.2007  12:00	13.02.2007  08:00	14.02.2007  12:00			12.0	1.5	3.0			560.0
3	spscnc	Переговоры и выбор				16769505	16711680		16.02.2007  08:00	22.02.2007  08:19	16.02.2007  08:00	22.02.2007  08:19			32.0	4.0				6 116.0
	spscnc01	Проверка поддержки	DM			16777215	255		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8.0	1.0	2.0			1 346.0
	1	Команда 1	DM			15263999	15263999		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8.0	1.0	2.0			1 314.0
	me	Менеджер проекта	DM_PM			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8.0	1.0	2.0			518.0
	77	IT Аналитик	DM_IT			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8.0	1.0	2.0			374.0
	bi	Бизнес аналитик	DM_BA			14745599	12500735		16.02.2007  08:00	16.02.2007  16:00	16.02.2007  08:00	16.02.2007  16:00			8.0	1.0	2.0			422.0
	spscnc02	Управление 2	NG			16777215	255		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8.0	1.0	2.0			1 337.0
	1	Команда 1	NG			15263999	15263999		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8.0	1.0	2.0			1 314.0
	me	Менеджер проекта	NG_PM			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8.0	1.0	2.0			518.0
	77	IT Аналитик	NG_IT			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8.0	1.0	2.0			374.0
	bi	Бизнес аналитик	NG_BA			14745599	12500735		19.02.2007  08:19	20.02.2007  08:19	19.02.2007  08:19	20.02.2007  08:19			8.0	1.0	2.0			422.0
	spscnc03	Переговоры	CH			16777215	255		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16.0	2.0	100.0			3 433.0
	1	Команда 1	CH			15263999	15263999		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16.0	2.0	100.0			3 198.0
	me	Менеджер проекта	CH_PM			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16.0	2.0	100.0			1 226.0
	77	IT Аналитик	CH_IT			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16.0	2.0	100.0			938.0
	bi	Бизнес аналитик	CH_BA			14745599	12500735		20.02.2007  08:19	22.02.2007  08:19	20.02.2007  08:19	22.02.2007  08:19			16.0	2.0	100.0			1 034.0
